,industry,industry_Disp,indistry_map_dic,sector,sectorKey,sectorDisp
LITE,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
X,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
HLI,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
POST,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
CR,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
MEDP,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
FSV,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
STAG,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
INSP,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
SM,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
EXEL,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
IDA,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
OZK,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
TPX,"Furnishings, Fixtures & Appliances","Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
STN,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
OSK,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
CX,Building Materials,Building Materials,building-materials,Basic Materials,basic-materials,Basic Materials
CIVI,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
LFUS,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
ORA,Utilities - Renewable,Utilities - Renewable,utilities-renewable,Utilities,utilities,Utilities
PRGO,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
SAIC,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
TREX,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
FCN,Consulting Services,Consulting Services,consulting-services,Industrials,industrials,Industrials
SLAB,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
PENN,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SLGN,Packaging & Containers,Packaging & Containers,packaging-containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
DAVA,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
NYT,Publishing,Publishing,publishing,Communication Services,communication-services,Communication Services
TOL,Residential Construction,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PAGS,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
NTNX,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ADC,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
SOFI,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
CADE,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
TDOC,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
NTLA,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
PRI,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
AMG,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
AMC,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
SITE,Industrial Distribution,Industrial Distribution,industrial-distribution,Industrials,industrials,Industrials
GLBE,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
W,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MKSI,Scientific & Technical Instruments,Scientific & Technical Instruments,scientific-technical-instruments,Technology,technology,Technology
EHC,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
VNO,REIT - Office,REIT - Office,reit-office,Real Estate,real-estate,Real Estate
BNCDY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
QS,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AMN,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
TNET,Staffing & Employment Services,Staffing & Employment Services,staffing-employment-services,Industrials,industrials,Industrials
UBSI,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
GXO,Integrated Freight & Logistics,Integrated Freight & Logistics,integrated-freight-logistics,Industrials,industrials,Industrials
ZLAB,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
SAIA,Trucking,Trucking,trucking,Industrials,industrials,Industrials
M,Department Stores,Department Stores,department-stores,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
VVV,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
BWXT,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
ENLC,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
WTFC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CIGI,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
LYSDY,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
AM,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
RLI,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
HXL,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
SIGI,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
SWX,Utilities - Regulated Gas,Utilities - Regulated Gas,utilities-regulated-gas,Utilities,utilities,Utilities
LEG,"Furnishings, Fixtures & Appliances","Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
VRT,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
TSEM,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
TKR,Tools & Accessories,Tools & Accessories,tools-accessories,Industrials,industrials,Industrials
BKH,Utilities - Regulated Gas,Utilities - Regulated Gas,utilities-regulated-gas,Utilities,utilities,Utilities
THG,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
VLY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
ASGN,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
HGV,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NTRA,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
BXMT,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
SMAR,Software - Application,Software - Application,software-application,Technology,technology,Technology
OLED,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
HP,Oil & Gas Drilling,Oil & Gas Drilling,oil-gas-drilling,Energy,energy,Energy
TGNA,Broadcasting,Broadcasting,broadcasting,Communication Services,communication-services,Communication Services
ASAN,Software - Application,Software - Application,software-application,Technology,technology,Technology
SIM,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
RYN,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
STVN,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
EXPO,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
COLM,Apparel Manufacturing,Apparel Manufacturing,apparel-manufacturing,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ENSG,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
DOCN,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
BKGFY,Residential Construction,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MSA,Security & Protection Services,Security & Protection Services,security-protection-services,Industrials,industrials,Industrials
MFA,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
ASAI,Grocery Stores,Grocery Stores,grocery-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
MTG,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
ROG,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
RHP,REIT - Hotel & Motel,REIT - Hotel & Motel,reit-hotel-motel,Real Estate,real-estate,Real Estate
LPX,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
JSGRY,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
BMBL,Software - Application,Software - Application,software-application,Technology,technology,Technology
DNA,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
IPGP,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
CRK,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
GDS,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
SRCL,Waste Management,Waste Management,waste-management,Industrials,industrials,Industrials
EXP,Building Materials,Building Materials,building-materials,Basic Materials,basic-materials,Basic Materials
JSCPY,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
LANC,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
OMF,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
IVR,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
CYTK,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
RYAN,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
CMC,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
SPWR,Solar,Solar,solar,Technology,technology,Technology
ESI,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
AXS,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
NVEI,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
CROX,Footwear & Accessories,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
